"","HDFCBANK.NS","TCS.NS","RELIANCE.NS","ONGC.NS","HINDUNILVR.NS","TATAMOTORS.NS","WIPRO.NS","BAJFINANCE.NS","KOTAKBANK.NS","BHARTIARTL.NS","NSEI"
"32",1178.74987792969,2012.99755859375,662.099365234375,74.3873291015625,2087.92041015625,167.532943725586,115.248176574707,469.295318603516,1682.76977539062,516.146484375,12174.650390625
"33",1157.81274414062,2005.87976074219,668.140380859375,72.9398422241211,2061.99780273438,167.137588500977,114.846290588379,467.96435546875,1673.95654296875,540.09228515625,12113.4501953125
"34",1155.72375488281,2023.37573242188,663.94091796875,70.5744171142578,2059.7578125,167.137588500977,115.271820068359,467.465270996094,1684.06433105469,539.948791503906,12045.7998046875
"35",1152.02062988281,2034.85424804688,659.067626953125,70.1154327392578,2043.11547851562,159.724624633789,115.390014648438,465.640014648438,1683.96472167969,524.080627441406,11992.5
"36",1165.26647949219,2017.03833007812,675.416381835938,71.8100814819336,2095.92138671875,156.2158203125,117.068511962891,477.388702392578,1694.02282714844,519.444396972656,12125.900390625
"37",1155.67626953125,1980.71704101562,667.399291992188,72.5867919921875,2055.77978515625,156.660598754883,116.170166015625,477.623626708984,1678.93579101562,521.547485351562,12080.849609375
"38",1148.88708496094,1942.65173339844,648.984497070312,69.2328262329102,2025.51330566406,148.90168762207,115.4609375,470.136962890625,1671.26782226562,506.539672851562,11829.400390625
"39",1139.72412109375,1980.12048339844,636.161682128906,68.8797836303711,2042.38366699219,148.160385131836,115.41365814209,472.289978027344,1668.828125,511.653778076172,11797.900390625
"40",1138.72705078125,1950.22802734375,625.202575683594,67.6441192626953,2044.76147460938,142.872497558594,113.427841186523,470.729034423828,1659.56665039062,512.322875976562,11678.5
"41",1138.91687011719,1933.60534667969,622.619995117188,65.914176940918,2061.90625,143.564361572266,109.503509521484,465.816253662109,1675.74914550781,508.212463378906,11633.2998046875
"42",1118.21716308594,1836.85583496094,596.749572753906,64.9256362915039,1988.57177734375,127.453521728516,104.704437255859,437.048919677734,1613.60864257812,500.421752929688,11201.75
"43",1120.06872558594,1837.91235351562,591.135314941406,62.9132499694824,1974.58142089844,123.944725036621,104.397132873535,426.763336181641,1592.34741210938,495.498779296875,11132.75
"44",1122.15783691406,1869.962890625,603.127380371094,65.914176940918,1981.16516113281,128.837280273438,105.768264770508,436.900909423828,1619.53405761719,497.840789794922,11303.2998046875
"45",1090.87048339844,1913.1259765625,601.712585449219,65.5258178710938,1989.57775878906,124.73543548584,108.203262329102,420.451293945312,1601.26025390625,493.969299316406,11251
"46",1093.24438476562,1951.5595703125,588.8896484375,65.3846130371094,2028.11950683594,124.290664672852,108.605155944824,424.796630859375,1644.47973632812,503.671844482422,11269
"47",1077.62487792969,1943.66125488281,570.856567382812,62.4895935058594,2001.51049804688,112.874702453613,105.697357177734,414.511962890625,1624.26416015625,496.263488769531,10989.4501953125
"48",1051.41760253906,1811.32568359375,500.409088134766,52.6395568847656,1939.88061523438,104.473342895508,101.371116638184,394.987243652344,1571.58435058594,474.373046875,10451.4501953125
"49",1057.58959960938,1794.19812011719,518.105163574219,50.6271667480469,1970.51293945312,97.7522659301758,100.756469726562,395.364868164062,1582.68811035156,472.031066894531,10458.400390625
"50",969.757690429688,1625.35803222656,477.435577392578,44.1310729980469,1879.94250488281,86.978759765625,94.137077331543,366.300903320312,1458.95495605469,444.452880859375,9590.150390625
"51",1015.81011962891,1658.83239746094,496.434204101562,46.5318031311035,1859.13989257812,88.7084426879883,93.3332901000977,387.7041015625,1463.93408203125,470.1669921875,9955.2001953125
"52",949.057922363281,1557.90441894531,456.191284179688,42.4717407226562,1775.65612792969,81.9873580932617,84.9881439208984,360.209564208984,1377.94323730469,444.309478759766,9197.400390625
"53",925.889343261719,1522.63977050781,452.73291015625,42.3658332824707,1832.4853515625,77.0453796386719,81.8439407348633,337.903930664062,1317.19689941406,434.65478515625,8967.0498046875
"54",832.645263671875,1519.33349609375,434.991882324219,48.1205253601074,1759.10559082031,74.6238174438477,80.3545761108398,300.28662109375,1167.07409667969,406.789825439453,8468.7998046875
"55",850.35400390625,1513.73693847656,412.175567626953,43.1072273254395,1680.92504882812,72.1034088134766,76.7611999511719,269.363861083984,1205.81237792969,425.143402099609,8263.4501953125
"56",838.294921875,1662.765625,457.201812744141,51.0861320495605,1876.05615234375,76.4029312133789,84.7280883789062,289.550720214844,1257.09814453125,442.254272460938,8745.4501953125
"57",732.611999511719,1544.58801269531,397.062042236328,45.8144340515137,1709.63696289062,65.4317474365234,80.4491348266602,222.285766601562,1093.68078613281,389.392150878906,7610.25
"58",728.956298828125,1575.53149414062,423.718475341797,47.4073257446289,1854.248046875,67.7544784545898,83.3805770874023,242.693283081055,1148.103515625,386.237640380859,7801.0498046875
"59",813.512145996094,1619.1484375,486.081512451172,46.6867332458496,1909.3857421875,69.4347457885742,82.576789855957,253.620468139648,1284.78247070312,410.183349609375,8317.849609375
"60",855.623962402344,1656.75231933594,478.872833251953,49.1139907836914,2006.99719238281,69.9783630371094,86.3356552124023,274.032897949219,1367.23803710938,449.949401855469,8641.4501953125
"61",858.804870605469,1687.78857421875,478.603363037109,48.8864326477051,1957.30029296875,69.8795166015625,86.7611999511719,249.373199462891,1393.27917480469,429.158264160156,8660.25
"62",789.678894042969,1645.2353515625,462.816101074219,48.052059173584,1997.35070800781,67.3591156005859,87.0685119628906,219.926696777344,1288.31774902344,412.04736328125,8281.099609375
"63",818.402282714844,1689.26867675781,500.229461669922,51.8067245483398,2101.72778320312,70.225456237793,93.0023193359375,217.346954345703,1290.65795898438,421.463104248047,8597.75
"64",787.77978515625,1580.7119140625,485.273101806641,49.872501373291,1993.05261230469,67.1614303588867,89.5980606079102,217.695159912109,1176.73400878906,402.774963378906,8253.7998046875
"65",772.777160644531,1530.24938964844,483.925659179688,52.9824256896973,1969.68994140625,64.5421905517578,85.1063537597656,216.532806396484,1136.103515625,405.260345458984,8083.7998046875
"66",850.876220703125,1642.1826171875,541.707458496094,55.2958984375,2235.5947265625,66.4695587158203,90.7328186035156,221.030212402344,1193.06567382812,449.471466064453,8792.2001953125
"67",844.039672851562,1577.65893554688,535.441955566406,56.4715957641602,2250.17944335938,66.8154907226562,91.2056350708008,228.833206176758,1182.70910644531,441.298370361328,8748.75
